State,Campaigns,Country,Status,Type,Targeting,Retailer,Portfolio,Campaign bidding strategy,Start date,End date,Avg. time in budget,Budget (converted),Budget,Cost type,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Spend (converted),Spend,CPC (converted),CPC,Detail page views,Orders,Sales (converted),Sales,ACOS,ROAS,NTB orders,% of orders NTB,NTB sales (converted),NTB sales,% of sales NTB,Long-term sales (converted),Long-term sales,Long-term ROAS,Cumulative reach,Household reach,Viewable impressions,CPM (converted),CPM,VCPM (converted),VCPM,Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR
PAUSED,SP | B12 | Category,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (down only),08/26/2024,,100,$150.00,$150.00,CPC,137632,<5%,0,321,0.0023,$188.56,$188.56,$0.59,$0.59,0,15,"$2,643.84","$2,643.84",0.0713,14.021213406873157,0,0,$0.00,$0.00,0,$0.00,"$2,834.93",0,,,0,$1.37,$1.37,$0.00,$0.00,0,0,0,0,0,0,0.0023
PAUSED,SP | B12 | Brand Protection,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),08/26/2024,,100,$120.00,$120.00,CPC,63435,22.32%,0.44,457,0.0072,"$1,027.15","$1,027.15",$2.25,$2.25,0,47,"$8,507.93","$8,507.93",0.1207,8.283045319573572,0,0,$0.00,$0.00,0,$0.00,"$8,545.41",0,,,0,$16.19,$16.19,$0.00,$0.00,0,0,0,0,0,0,0.0072
PAUSED,SP | B12 | Auto Harvest,United States,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),08/26/2024,,100,$100.00,$100.00,CPC,249451,<5%,0.75,1664,0.0067,"$1,568.16","$1,568.16",$0.94,$0.94,0,62,"$11,077.38","$11,077.38",0.1416,7.063934802571161,0,0,$0.00,$0.00,0,$0.00,"$11,040.20",0,,,0,$6.29,$6.29,$0.00,$0.00,0,0,0,0,0,0,0.0067
PAUSED,SP | MG7700 | Category,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (down only),08/21/2024,,99.36928894437571,$80.00,$80.00,CPC,1004351,<5%,0,7914,0.0079,"$4,666.86","$4,666.86",$0.59,$0.59,0,328,"$59,935.44","$59,935.44",0.0779,12.842776513544433,0,0,$0.00,$0.00,0,$0.00,"$61,924.96",0,,,0,$4.65,$4.65,$0.00,$0.00,0,0,0,0,0,0,0.0079
PAUSED,SP | MG7700 | Manual Brand,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),08/21/2024,,99.50380772682522,$325.00,$325.00,CPC,1706774,12.56%,0,13328,0.0078,"$25,687.04","$25,687.04",$1.93,$1.93,0,598,"$107,226.97","$107,226.97",0.2396,4.174360689281444,0,0,$0.00,$0.00,0,$0.00,"$110,818.02",0,,,0,$15.05,$15.05,$0.00,$0.00,0,0,0,0,0,0,0.0078
PAUSED,SP | MG7700 | Auto,United States,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),08/08/2024,,96.77799665864049,$80.00,$80.00,CPC,853686,<5%,0.39,7395,0.0087,"$5,808.71","$5,808.71",$0.79,$0.79,0,293,"$51,096.98","$51,096.98",0.1137,8.79661405027966,0,0,$0.00,$0.00,0,$0.00,"$52,064.18",0,,,0,$6.80,$6.80,$0.00,$0.00,0,0,0,0,0,0,0.0087
ENABLED,SP | MB8611 | Branded,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),08/06/2024,,87.65381634015777,$150.00,$150.00,CPC,2660579,7.74%,0.05,9205,0.0035,"$21,060.40","$21,060.40",$2.29,$2.29,0,463,"$84,167.90","$84,167.90",0.2502,3.996500541300263,0,0,$0.00,$0.00,0,$0.00,"$86,686.87",0,,,0,$7.92,$7.92,$0.00,$0.00,0,0,0,0,0,0,0.0035
PAUSED,SP | MB8611 | Category Target,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),08/06/2024,,82.7474935229107,$200.00,$200.00,CPC,1029216,<5%,0,9201,0.0089,"$11,881.97","$11,881.97",$1.29,$1.29,0,505,"$93,819.57","$93,819.57",0.1266,7.89596085497607,0,0,$0.00,$0.00,0,$0.00,"$97,229.34",0,,,0,$11.54,$11.54,$0.00,$0.00,0,0,0,0,0,0,0.0089
ENABLED,SP | MB8611 | Asin Target,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),08/05/2024,,93.67132260858536,$425.00,$425.00,CPC,688832,9.64%,0,5084,0.0074,"$9,608.23","$9,608.23",$1.89,$1.89,0,488,"$88,939.92","$88,939.92",0.1080,9.256639360215155,0,0,$0.00,$0.00,0,$0.00,"$90,231.60",0,,,0,$13.95,$13.95,$0.00,$0.00,0,0,0,0,0,0,0.0074
ENABLED,SP | MB8611 | Kw Targeting Exact,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),08/05/2024,,100,$70.00,$70.00,CPC,672265,<5%,0.05,2328,0.0035,"$1,744.33","$1,744.33",$0.75,$0.75,0,100,"$18,302.25","$18,302.25",0.0953,10.492424025270457,0,0,$0.00,$0.00,0,$0.00,"$18,783.48",0,,,0,$2.59,$2.59,$0.00,$0.00,0,0,0,0,0,0,0.0035
PAUSED,SP | MB8611 | Auto,United States,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),08/05/2024,,68.52826917305326,$350.00,$350.00,CPC,460745,<5%,0.75,5981,0.0130,"$9,296.52","$9,296.52",$1.55,$1.55,0,264,"$49,392.74","$49,392.74",0.1882,5.3130354154027515,0,0,$0.00,$0.00,0,$0.00,"$50,626.45",0,,,0,$20.18,$20.18,$0.00,$0.00,0,0,0,0,0,0,0.0130
